night|夜
a quarter past|过一刻
a quarter to|差一刻
twin|双胞胎
at the same time|在同一时间
fight|干上
shout|地喊
half past|半
finish work|下班
finish school|放学
February|二月
eleventh|十一
tenth|第十
begin|动手
what is the date of|是几月几号
December|十二月
until|为止
sixth|第六
fourth|第四
start school|开始上课
September|九月
October|十月
date|舞伴
busiest|最忙
busier|更忙
put|摆放
refrigerator|冰箱
swimming pool|游泳池
happiest|最开心
happier|更开心
funniest|最有趣的
grandparents|外公外婆
funnier|更好笑
sunnier|更晴朗的
hole|坑洞
home|家
each|每座
the key to|的钥匙
plant|埋
fattest|最胖
dining|餐饮
fat|肥
hotter|热多
hottest|最热的
fatter|更胖
dining room|餐厅
biggest|最大的
its|其
bigger|大
living room|客厅
bookcase|书柜
television|电视
willing|有意
marry|娶
he'll|他会
the day after tomorrow|后天
there|那边
library|图书馆
we'll|我们会
them|它们
you'll|你会
ask|提问
be|当
as well|也
theater|戏剧
give|献上
go out|灭了
us|咱们
come with|带
pace|速度
dance party|舞会
invite|邀请
where will|会住在哪里
they'll|他们会
traffic|车流
choose|我选
travel to|去旅行
she'll|她会
won't|不会
who will|谁会
i'll|我会去
when will|什么时候
before|前能
come home|回家
will not|不会
move to|搬到
month|一个月
worried|担
get married|结婚
married|已结婚
will|里会
get a job|找一份工作
between|彼此之间
past|过
inside|里面
turn|拐弯
there's|有
end|收官
end of|街尾
close to|靠近
street|街上
dangerous|危险的
worst|最坏
look for|寻找
safe|安全的
better|好些
worse|更差的
coffee shop|咖啡馆
town|镇上
zoo|动物园
smoking|冒烟
cannot stop|不能停
grandmother|祖母
grandfather|祖父
hope|希
smoke|冒烟
bad for|难过
good for|适合
angry|气
feel|体会
radio|收音机
tired|累
listen to|听
enjoy|欢
listen|闻闻
fit|身材很好
kid|小山羊
companies|公司
because|因为
writing|文笔
speaking|说话
hard|不易
schedule|时间表
early|早早
finish|吃完
next year|明年
change|推移
building|楼里
work from home|在家工作
having|进行
work for|为...工作
send|捎
message|信息
second|秒
later|后来
company|公司
have a nice trip|旅途愉快
coldest|最冷的
the most interesting|最有趣的
the most expensive|最贵的
trip|摔到
take|买下来
world|大地
fastest|最快
in the world|世界上
group|会派
ticket to|去看
excite|刺激
the most exciting|最令人兴奋的
on tv|电视上
the most boring|最无聊的
exciting|令人兴奋的
part|一部分
most|最有
the most important|最重要的
host|开了个
the most famous|最有名的
team|队
player|玩家
June|六月
june|六月
May|五月
say|讲个
what are|做什么
after|听完后
soon|很快
call|地喊
practice|练习
leave|搬离
a.m.|上午
p.m.|晚上
meet|见见面
row|排
going to|打算
tomorrow|明天
uncle|叔
aunt|姑妈
paper|用纸
paint|描绘
pencil|铅笔
picture|图片
dictionary|词典
smallest|最小
smaller|更小
subject|科
desk|课桌
oldest|最大的
youngest|最小的
more interesting|更有趣
courses|课程
more difficult|更难
course|主菜
take a test|参加考试
test|调试
down|小
shortest|最矮的
tallest|最高的
in the classroom|教室里
classroom|教室
fifteen|十五个
how much does|多少钱
cheaper|更便宜
fifty|五十
get|得
how much do|多少钱
pairs of|双
color of|颜色
pink|粉色的
forty|四十
thirty|三十
what do|做什么
cheap|劣质
more famous|更有名
more beautiful|更美丽
glasses|杯
pair|配对
pair of|双
more expensive|更贵
blouse|女士衬衫
boot|靴子
cost|要价
making|制作
day|白天
taking|会参加
having a good time|过得愉快
having a picnic|野餐
at a cafe|在咖啡馆
taking photos|拍照
have a picnic|去野餐
taking a vacation|度假
have a good time|玩得很开心
cafe|咖啡馆
at the beach|在海滩
on the boat|在船上
location|原地
monday|星期一
take a vacation|请假
picnic|野餐
dancing|舞蹈
driving|开
on holidays|假期时
boat|游船
riding|骑着
holiday|假日
holidays|假日
relax|放松一下
bicycle|自行车
sweet|悦耳
year old|岁
chocolate|巧克力
singing|唱
taller|更高的
than|比起
low|很低的
shorter|更短
yellow|黄色
hungry|饿
ice cream|冰淇淋
hunger|饥饿
cream|药膏
younger|年轻
baby|宝宝
babies|宝宝们
older|大
have a party|开派对
boring|无聊
what's up|最近怎么样
hey|喂喂
gets|变得
outside|在外
go outside|出去
raining|下雨
snowing|下雪
stay|留下来
can't find|找不到
sitting|坐
shopping|购买
find|查找
ball|球体
waiting for|在等
waiting|等着
interesting|有意思的
running|跑步
swimming|游泳
what are you doing|你在这里做什么
wait|候
learning|学
let's|让我们
sports|体育比赛
fast|飞快
sport|竞技
run|跑步
wearing|戴
at home|在家
gray|灰色的
looking for|找
wear|戴
can't see|看不到
why|为什么
can't hear|听不到
children|小孩子
sold|卖了
old man|老人
who is|谁是
see|见到
hear|听见
child|孩子
what's|什么是
look at|看
photo|照片
photos|摄
come to|来
take photos|拍照片
take a photo of|拍张照片
american|美国的
where does|在哪儿
walk|前行
walks|走
goes shopping|去购物
shop|小商店
go to bed|去睡觉
go home|回家
get up|起床
can't sleep|睡不着
at night|在晚上
take a bath|泡澡
sleep|睡一觉
what|什
what day is it|今天星期几
cooking|烹饪
washing|洗头发
cleaning|在打扫
same|相同
drinking|喝啤酒
talking about|谈
came|来了
talk about|谈论
doing|做
japanese|日本语
playing|打网球
light|轻度
talking|说话
talking to|和我说话
right now|在
him|他
about|有关
talk to|跟...说话
thought|原以为
watching|在看
newspaper|报纸
eating|在吃
we're|我们是
reading|读
people|十口
young|年轻
happy birthday|生日快乐
sad|难过
letter|帖
parties|聚会
fun|好玩的
how are you doing|你怎么样
how is|如何
third|三日
too much|太多的
think|想着
first|第一位
wednesday|星期三
birthday|生日
march|三月份
March|三月
July|七月
party|聚会
pay for|付
how much money|多少钱
money|钱
me|我
help|人手
sit|坐
wait for|等
sure|当然
twenty|20
plate|盘子
mind|理会
what kind of|哪一类的
no|不
yes|是的
help you|帮助
how are you|你好吗
good afternoon|下午好
can't|不能
well|做得很好
learn to|学
very well|得非常好
learn|会得
piano|钢琴
guitar|吉他
cannot|不得
dance|舞蹈
swim|泳
can|行不行
ride|骑过
drive|动力
bike|骑自行车
factories|工厂
visit|看望
places|地方
meats|肉类
place|處
in front of|在前面
which|哪张
behind|身后
hide|躲藏
supermarket|超市
river|条河
travel by|乘
next|其次
go on vacation|去度假
next to|旁边
factory|工厂
park|公园
stop|防住
universities|大学
on vacation|度假
famous|有名的
near|附近
museum|博物馆
countries|国家
vacation|假期
girls|女孩子
cities|城市
travel|旅程
words|字
studies|学习
please don't|请不要
works|奏效
weekend|周末
see you tomorrow|明天见
during the week|工作日
goes|去
goes to|去
forget|忘记
bookstore|书店
buses|公交车
don't want to|不想
classes|两节课
homework|家庭作业
pen|钢笔
write|写东西
close|痊愈
window|户
late for|迟到
Thursday|周四
what time does|几点
Friday|周五
twelve|十二
start|发车
minute|细小
go to|去上
what time do|几点
eleven|十一
what time is|是几点
starts|开始
what time is it|现在是几点
it is|天气
o'clock|点钟
how many|多少
are there|有没有
farm|种地
horse|马
feet|脚
teeth|牙
harm|毁
arm|手臂
pig|猪
something|某些事情
foot|脚
tooth|牙齿
left|离开
hurt|受伤
ear|耳
leg|腿
dead|死了
nose|鼻子
head|头
animal|动物
candy|糖果
isn't|不是
soccer|足球
windy|风很大
come|得来
how is the weather|天气怎么样
a lot|多
April|四月
January|一月
rain|雨
snow|下雪
August|八月
is it|今天是吗
it's|天气
weather|天气
warm|加热
it|这个
week|周
chairs|椅子
under|下
garden|庭院
flower|一朵花
tree|圣诞树
floor|地板
door|扇门
boxes|盒子
fox|狐狸
toilet|马桶
shower|洗澡
clean|冲洗
block|防住
box|盒子
is there|有吗
clock|时钟
kitten|小猫咪
there are|有
kitchen|厨房
coffee table|茶几
fridge|冰箱
there is|有
pot|锅
bedroom|卧室
apartment|间房
race|赛跑
what would you like|你想要什么
hot pot|火锅
thank you for|谢谢你
cake|蛋糕
fish|条鱼
would you like to|你想
glasses of|杯
wine|葡萄酒
line|队
makes|让
lunch|午饭
dinner|吃晚饭
make|造出
kind of|类
food|食品
would like to|想要
beef|牛肉
nine|九
nineteen|十九
eighteen|十八
women|女人
when|的时候
how old are|多大
eight|八
men|男人
hair|头发
brown|棕色
eye|眼
grandpa|爷爷
watches|观赏
grandma|奶奶
bed|床位
washes|洗
teaches|教我如何
face|脸
wash|洗
often|经常
live|生存
hand|手上
open|打开
clothes|衣服
hundred|百
now|现在
clothes store|服装店
store|储存
seventeen|十七
different|不同的
t-shirt|t
how much are|多少钱
how|如何
both|双
yuan|元
seven|七
how much is|多少钱
wants to|想
sixteen|十六
those|那些
jeans|牛仔裤
skirt|短裙
dresses|洋装
six|六
want to|想要
buy|买冰
go shopping|去购物
guy|男人
Saturday|周六
what is|是什么
closed|关门
last|上一个
last name|姓氏
late|迟到
first name|名字
go|进行
port|港口
ticket office|售票处
hotel|旅馆
need to|需要
bus|公交车
passport|护照
right|权利
right here|就在这里
ticket|门票
plane|飞机
over|头顶
where is|在哪里
over there|在那里
to|为了
taxi|出租车
bathroom|浴室
subway|地铁
the|这只
station|铁
airport|机场
train|火车
speaks|说
usually|平时
fine|大好
time|時間
sometimes|有的时候
uses|用
at school|在学校
doesn't|不
cooks|烹饪
cook|厨师
music|音乐
sing|唱过
draw|平局
tv|电视机
evening|晚上
does not|不
movie|故事片
noodle|面
every|每座
baseball|棒球
does|吗
tennis|网球
basketball|篮球
lead|领先
likes to|喜欢
like to|喜欢
play|吹得
read|读
seeds|种子
a glass of|一杯
needs|必须
